Nom_produit,Chipset Graphique,Marque,Quantité Mémoire (Go),Type Mémoire,Bus,Prix (€),Site Internet,Longueur,Largeur,Epaisseur,Type du GPU
kfa2 geforce rtx 3060 ti (1-click oc) (lhr),geforce rtx 3060,kfa2,8,gddr6,pci express 4.0,449.99,topachat.com,256.5,131.5,41.5,geforce
sapphire radeon rx 6700 pulse ,radeon rx 6700,sapphire,10,gddr6,pci express 4.0,469.99,topachat.com,260.0,119.85,49.0,radeon
msi radeon rx 6750 xt mech 2x oc ,radeon rx 6750,msi,12,gddr6,pci express 4.0,519.99,topachat.com,249.0,132.0,52.0,radeon
sapphire radeon rx 6600 pulse ,radeon rx 6600,sapphire,8,gddr6,pci express 4.0,339.99,topachat.com,193.0,120.05,40.05,radeon
gigabyte radeon rx 6650 xt gaming oc ,radeon rx 6650,gigabyte,8,gddr6,pci express 4.0,369.99,topachat.com,282.0,115.0,50.0,radeon
kfa2 geforce rtx 3050 ex (lhr),geforce rtx 3050,kfa2,8,gddr6,pci express 4.0,299.99,topachat.com,224.0,133.0,44.0,geforce
kfa2 geforce gtx 1630 ex (1-click oc),geforce gtx 1630,kfa2,4,gddr6,pci express 3.0,174.99,topachat.com,196.0,126.0,39.0,geforce
kfa2 geforce rtx 3060 (12 go) (1-click oc) (lhr),geforce rtx 3060,kfa2,12,gddr6,pci express 4.0,399.99,topachat.com,258.0,126.0,41.5,geforce
kfa2 geforce rtx 3060 (8 go) (1-click oc) (lhr),geforce rtx 3060,kfa2,8,gddr6,pci express 4.0,349.99,topachat.com,258.0,126.0,41.5,geforce
gainward geforce rtx 4070 ti phantom reunion (12 go),geforce rtx 4070,gainward,12,gddr6x,pci express 4.0,999.99,topachat.com,313.9,137.0,59.7,geforce
gigabyte geforce rtx 3060 eagle oc rev 2.0 (12 go) (lhr),geforce rtx 3060,gigabyte,12,gddr6,pci express 4.0,439.99,topachat.com,242.0,124.0,41.0,geforce
gigabyte geforce rtx 4080 gaming oc (16 go),geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,1499.99,topachat.com,342.0,150.0,75.0,geforce
kfa2 geforce rtx 3060 ti plus v2 gddr6x (1-click oc) (lhr),geforce rtx 3060,kfa2,8,gddr6x,pci express 4.0,499.99,topachat.com,254.0,142.0,54.0,geforce
sapphire radeon rx 7900 xt,radeon rx 7900,sapphire,20,gddr6,pci express 4.0,1099.99,topachat.com,276.4,112.7,51.25,radeon
asus geforce rtx 3050 dual o8g (lhr),geforce rtx 3050,asus,8,gddr6,pci express 4.0,359.99,topachat.com,200.0,123.0,38.0,geforce
msi geforce rtx 3060 ventus 2x oc (12 go) (lhr),geforce rtx 3060,msi,12,gddr6,pci express 4.0,459.99,topachat.com,235.0,124.0,42.0,geforce
gigabyte geforce rtx 3060 ti eagle oc rev 2.0 (lhr),geforce rtx 3060,gigabyte,8,gddr6,pci express 4.0,529.99,topachat.com,242.0,124.0,41.0,geforce
gainward geforce rtx 4080 phantom (16 go),geforce rtx 4080,gainward,16,gddr6x,pci express 4.0,1469.99,topachat.com,329.4,141.6,-1.0,geforce
gigabyte geforce rtx 4070 ti gaming oc (12 go),geforce rtx 4070,gigabyte,12,gddr6x,pci express 4.0,1079.99,topachat.com,336.0,140.0,58.0,geforce
asus geforce rtx 3060 dual o8g (8 go) (lhr),geforce rtx 3060,asus,8,gddr6,pci express 4.0,399.99,topachat.com,200.0,123.0,38.0,geforce
sapphire radeon rx 6700 xt pulse ,radeon rx 6700,sapphire,12,gddr6,pci express 4.0,509.99,topachat.com,280.0,122.75,50.47,radeon
asus geforce rtx 3060 phoenix v2 (12 go) (lhr),geforce rtx 3060,asus,12,gddr6,pci express 4.0,399.99,topachat.com,177.0,128.0,51.0,geforce
powercolor radeon rx 7900 xt,radeon rx 7900,powercolor,20,gddr6,pci express 4.0,1059.99,topachat.com,276.4,112.7,51.25,radeon
msi geforce rtx 4080 suprim x (16 go),geforce rtx 4080,msi,16,gddr6x,pci express 4.0,1629.99,topachat.com,336.0,142.0,78.0,geforce
msi geforce rtx 4080 gaming x trio (16 go),geforce rtx 4080,msi,16,gddr6x,pci express 4.0,1549.99,topachat.com,337.0,140.0,67.0,geforce
intel arc a770 ,arc a770,intel,16,gddr6,pci express 4.0,459.99,topachat.com,270.0,115.0,-1.0,arc
powercolor radeon rx 6700 xt fighter ,radeon rx 6700,powercolor,12,gddr6,pci express 4.0,499.99,topachat.com,228.0,109.0,39.0,radeon
pny geforce rtx 3060 ti verto dual fan (lhr),geforce rtx 3060,pny,8,gddr6,pci express 4.0,509.99,topachat.com,247.0,118.0,39.0,geforce
pny geforce rtx 3050 verto (lhr),geforce rtx 3050,pny,8,gddr6,pci express 4.0,359.99,topachat.com,229.0,114.0,44.0,geforce
msi geforce rtx 3060 ti ventus 2x 8g ocv1 (lhr),geforce rtx 3060,msi,8,gddr6,pci express 4.0,579.99,topachat.com,235.0,124.0,42.0,geforce
msi radeon rx 6400 aero itx ,radeon rx 6400,msi,4,gddr6,pci express 4.0,159.99,topachat.com,172.0,112.0,-1.0,radeon
pny geforce rtx 3060 verto (12 go) (lhr),geforce rtx 3060,pny,12,gddr6,pci express 4.0,419.99,topachat.com,247.0,118.0,39.0,geforce
intel arc a750 ,arc a750,intel,8,gddr6,pci express 4.0,379.99,topachat.com,270.0,115.0,-1.0,arc
gigabyte geforce rtx 3050 gaming oc (lhr),geforce rtx 3050,gigabyte,8,gddr6,pci express 4.0,399.99,topachat.com,282.0,117.0,41.0,geforce
sapphire radeon rx 6700 xt nitro,radeon rx 6700,sapphire,12,gddr6,pci express 4.0,499.99,topachat.com,310.05,130.75,51.4,radeon
aorus geforce rtx 3070 ti master (lhr),geforce rtx 3070,aorus,8,gddr6x,pci express 4.0,849.99,topachat.com,324.0,142.0,70.0,geforce
gigabyte geforce rtx 3050 eagle oc (lhr),geforce rtx 3050,gigabyte,8,gddr6,pci express 4.0,379.99,topachat.com,213.0,120.0,41.0,geforce
gainward geforce rtx 4080 phantom gs (16 go),geforce rtx 4080,gainward,16,gddr6x,pci express 4.0,1499.99,topachat.com,329.4,141.6,-1.0,geforce
gigabyte geforce gtx 1630 oc,geforce gtx 1630,gigabyte,4,gddr6,pci express 3.0,199.99,topachat.com,153.0,116.0,36.0,geforce
asus geforce rtx 4080 tuf o16g gaming (16 go),geforce rtx 4080,asus,16,gddr6x,pci express 4.0,1599.99,topachat.com,348.2,150.0,72.6,geforce
gigabyte radeon rx 6400 eagle ,radeon rx 6400,gigabyte,4,gddr6,pci express 4.0,209.99,topachat.com,192.0,117.0,38.0,radeon
zotac geforce rtx 4080 trinity oc (16 go),geforce rtx 4080,zotac,16,gddr6x,pci express 4.0,1559.99,topachat.com,356.1,150.1,71.4,geforce
asus geforce rtx 3060 ti dual mini o8g v2 (lhr),geforce rtx 3060,asus,8,gddr6,pci express 4.0,529.99,topachat.com,200.0,123.0,38.0,geforce
sapphire radeon rx 7900 xt nitro,radeon rx 7900,sapphire,20,gddr6,pci express 4.0,1189.99,topachat.com,320.0,135.75,71.6,radeon
