Nom_produit_ldlc,Nom_produit_topachat,Prix (€) ldlc,Prix (€) topachat,Prix Moyen (€),Chipset Graphique,Marque,Quantité Mémoire (Go),Type Mémoire,Bus,Longueur,Largeur,Epaisseur,Type du GPU
kfa2 geforce rtx 3060 ti (1-click oc) lhr,kfa2 geforce rtx 3060 ti (1-click oc) (lhr),469.96,449.99,459.975,geforce rtx 3060,kfa2,8,gddr6,pci express 4.0,256.0,132.0,42.0,geforce
sapphire pulse radeon rx 6700 10gb,sapphire radeon rx 6700 pulse ,479.95,469.99,474.97,radeon rx 6700,sapphire,10,gddr6,pci express 4.0,260.0,120.0,49.0,radeon
msi radeon rx 6750 xt mech 2x 12g oc,msi radeon rx 6750 xt mech 2x oc ,539.95,519.99,529.97,radeon rx 6750,msi,12,gddr6,pci express 4.0,249.0,132.0,52.0,radeon
sapphire pulse radeon rx 6600 8gb,sapphire radeon rx 6600 pulse ,349.96,339.99,344.975,radeon rx 6600,sapphire,8,gddr6,pci express 4.0,193.0,120.0,40.0,radeon
gigabyte radeon rx 6650 xt gaming oc 8g,gigabyte radeon rx 6650 xt gaming oc ,379.96,369.99,374.975,radeon rx 6650,gigabyte,8,gddr6,pci express 4.0,282.0,115.0,50.0,radeon
kfa2 geforce rtx 3050 ex (1-click oc) lhr,kfa2 geforce rtx 3050 ex (lhr),319.96,299.99,309.975,geforce rtx 3050,kfa2,8,gddr6,pci express 4.0,224.0,133.0,44.0,geforce
kfa2 geforce gtx 1630 ex (1-click oc feature),kfa2 geforce gtx 1630 ex (1-click oc),179.95,174.99,177.47,geforce gtx 1630,kfa2,4,gddr6,pci express 3.0,196.0,126.0,39.0,geforce
kfa2 geforce rtx 3060 (1-click oc) lhr,kfa2 geforce rtx 3060 (12 go) (1-click oc) (lhr),429.95,399.99,414.97,geforce rtx 3060,kfa2,12,gddr6,pci express 4.0,258.0,126.0,42.0,geforce
gainward geforce rtx 4070 ti phantom reunion,gainward geforce rtx 4070 ti phantom reunion (12 go),999.95,999.99,999.97,geforce rtx 4070,gainward,12,gddr6x,pci express 4.0,314.0,137.0,60.0,geforce
gigabyte geforce rtx 3060 eagle oc 12g (rev. 2.0) (lhr),gigabyte geforce rtx 3060 eagle oc rev 2.0 (12 go) (lhr),449.95,439.99,444.97,geforce rtx 3060,gigabyte,12,gddr6,pci express 4.0,242.0,124.0,41.0,geforce
gigabyte geforce rtx 4080 gaming oc 16g,gigabyte geforce rtx 4080 gaming oc (16 go),1549.94,1499.99,1524.9650000000001,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,342.0,150.0,75.0,geforce
sapphire amd radeon rx 7900 xt 20gb,sapphire radeon rx 7900 xt,1119.95,1099.99,1109.97,radeon rx 7900,sapphire,20,gddr6,pci express 4.0,276.0,113.0,51.0,radeon
asus dual geforce rtx 3050 o8g (lhr),asus geforce rtx 3050 dual o8g (lhr),369.95,359.99,364.97,geforce rtx 3050,asus,8,gddr6,pci express 4.0,200.0,123.0,38.0,geforce
msi geforce rtx 3060 ventus 2x 12g oc lhr,msi geforce rtx 3060 ventus 2x oc (12 go) (lhr),469.96,459.99,464.975,geforce rtx 3060,msi,12,gddr6,pci express 4.0,235.0,124.0,42.0,geforce
gigabyte geforce rtx 3060 ti eagle oc 8g (rev. 2.0) (lhr),gigabyte geforce rtx 3060 ti eagle oc rev 2.0 (lhr),549.95,529.99,539.97,geforce rtx 3060,gigabyte,8,gddr6,pci express 4.0,242.0,124.0,41.0,geforce
gainward geforce rtx 4080 phantom,gainward geforce rtx 4080 phantom (16 go),1469.95,1469.99,1469.97,geforce rtx 4080,gainward,16,gddr6x,pci express 4.0,356.0,150.0,71.0,geforce
gigabyte geforce rtx 4070 ti gaming oc 12g,gigabyte geforce rtx 4070 ti gaming oc (12 go),1099.94,1079.99,1089.9650000000001,geforce rtx 4070,gigabyte,12,gddr6x,pci express 4.0,336.0,140.0,58.0,geforce
asus dual geforce rtx 3060 o8g (lhr),asus geforce rtx 3060 dual o8g (8 go) (lhr),409.96,399.99,404.975,geforce rtx 3060,asus,8,gddr6,pci express 4.0,200.0,123.0,38.0,geforce
sapphire pulse radeon rx 6700 xt 12gb,sapphire radeon rx 6700 xt pulse ,519.95,509.99,514.97,radeon rx 6700,sapphire,12,gddr6,pci express 4.0,280.0,123.0,50.0,radeon
asus phoenix geforce rtx 3060 v2 (lhr),asus geforce rtx 3060 phoenix v2 (12 go) (lhr),419.95,399.99,409.97,geforce rtx 3060,asus,12,gddr6,pci express 4.0,177.0,128.0,51.0,geforce
powercolor amd radeon rx 7900 xt 20gb,powercolor radeon rx 7900 xt,1059.95,1059.99,1059.97,radeon rx 7900,powercolor,20,gddr6,pci express 4.0,276.0,113.0,51.0,radeon
msi geforce rtx 4080 suprim x 16g,msi geforce rtx 4080 suprim x (16 go),1649.95,1629.99,1639.97,geforce rtx 4080,msi,16,gddr6x,pci express 4.0,336.0,142.0,78.0,geforce
